model,layer,relative_depth,overall,care,harm,fairness,cheating,loyalty,betrayal,authority,subversion,sanctity,degradation
Guard-Gen-0.6B,10,0.37037037037037035,0.06638470500563552,0.1781588381124689,0.18296584909446267,-0.03350181008752595,0.15690225935192392,0.19784702625417194,0.0256528971688591,-0.14334379295610478,-0.009041064777340235,0.031673632359257575,0.07653321553640546
Guard-Gen-0.6B,11,0.4074074074074074,0.008315679063037318,0.15386644757924772,0.17005429151644524,-0.07206164320915787,0.002668177298523533,-0.00806217987734259,0.07634287911830095,-0.007686004353705256,-0.12610108815450838,-0.08828666792830364,-0.017577421358904832
Guard-Gen-0.6B,12,0.4444444444444444,-0.045119665414399324,0.044897342078394686,0.13447217735189165,-0.23162670423364418,-0.09741999209295371,-0.17180474988689243,0.21318319678831832,-0.012644194975079959,-0.13686394154927606,-0.303112559411727,0.10972277178718426
Guard-Gen-0.6B,13,0.48148148148148145,0.0015995317623321514,0.07820448967510607,0.19761906301644905,-0.18420933912202098,0.026817394540087025,0.02268572842856642,-0.07780566512666276,0.018894083425056718,0.10920644662520484,-0.335764717147252,0.1603478333090057
Guard-Gen-0.6B,14,0.5185185185185185,0.06449109517948139,0.16538421485839172,0.16074112086193593,0.029220556191639324,0.026727696704672343,0.14109333325066875,0.20659924332767599,-0.1638680013266427,0.10434410611213896,-0.06311146386911526,0.03778014568365662
Guard-Gen-0.6B,15,0.5555555555555556,0.00916840331284623,0.20366358707533128,0.19696814425049392,0.022882574282441115,-0.09700558536629789,-0.3033432772025739,0.15081945745519987,-0.07597416350248132,-0.13360497246197522,0.005702781536467416,0.12157548706203714
Guard-Gen-0.6B,16,0.5925925925925926,-0.011900771204253369,0.19415476629899597,0.21637952565074525,0.09842488422360707,0.09758861395870999,0.1706395552529144,-0.09312162562973736,-0.015487325607930869,-0.36882739471251713,-0.2487717681592445,-0.16998694331786157
Guard-Gen-0.6B,17,0.6296296296296297,-0.09009956265260094,0.05273554677697101,0.04616561872359126,-0.7655131155245736,-0.06753278998253776,-0.27848939110543736,0.10138468796553624,0.061409914399892185,0.00935633492331911,0.0020964025321491553,-0.06260883523465477
Guard-Gen-0.6B,18,0.6666666666666666,-0.09491917799698202,-0.2176942976002667,0.21353267857106428,-0.185014893065917,0.13545910823110785,0.08535761249362317,0.21104417438684053,-0.13909321658232376,-0.22692475184617145,-0.7927690944329098,-0.03308910012466604
Guard-Gen-0.6B,19,0.7037037037037037,-0.3488708472698795,-0.11757150259005966,-0.019175407574843817,-0.8153830679639498,-0.22631643028951998,-0.09206012630757954,-0.4584178201933551,-0.21026034307504649,-0.9080363512301093,-0.6218380170993918,-0.019649406374650402
Guard-Gen-0.6B,20,0.7407407407407407,-0.24177838894573025,-0.08646266389570156,0.008333369020246506,-0.358968663947276,0.05326295620896737,-0.19901068244718023,0.14674619112489962,-1.2767017330690056,-0.2970549045486026,-0.24374597584284108,-0.1641817820606022
Guard-Gen-0.6B,21,0.7777777777777778,-0.552861705696333,-1.1724942905805036,-0.27692134248097977,-0.28202572426429295,-0.22690798840014237,-0.4054402488109585,-0.36741302140776533,-1.0148986647426717,-0.06513025002303197,-1.2208300883830248,-0.49655543786967793
Guard-Gen-0.6B,22,0.8148148148148148,-0.472770351164301,-0.06789153576712748,-0.667349346295415,-0.6150160675451666,0.050688847622585076,-1.0933414496124212,-0.05527306025355028,-1.1960877465842579,-0.4023357851251541,-0.6275456940478632,-0.05355167403439931
Guard-Gen-0.6B,23,0.8518518518518519,-0.8789640367760907,-0.9100805286348483,-0.07714389525533094,-0.8501044939564408,-1.5518905252638775,-0.2940696284174411,-0.5561409629676748,-2.218726682547675,-0.8020548096573508,-0.7848481441721766,-0.7445806968877047
Guard-Gen-0.6B,24,0.8888888888888888,-1.3790240748335991,-1.2280630402496922,-0.7066565525090733,-2.819255727176066,-1.739970329051372,-1.2117693035916206,-1.5048209605557323,-0.43459759807477427,-0.7911121194370974,-3.2247100949795104,-0.12928502271047537
