model,variant,benchmark,bench_key,domain,metric,raw,score,source,n,coverage,acc_all,refusal_rate,harmless_rate,tdr,rdr,l1_rdr,l2_rdr,safe_compliance,unsafe_refusal,record_coverage,score_coverage,macro_asr,micro_asr_lower,micro_asr_upper,validity,n_tasks
GPT-OSS-20B,Base,HarmBench,harmbench,Safety,1 - ASR,0.0333,96.67,harmbench/gpt-oss-20b/summary_gpt-oss-20b.json,300,,,0.1167,,,,,,,,,,,,,,
GPT-OSS-20B,DPO,HarmBench,harmbench,Safety,1 - ASR,0.06,94.0,harmbench/gpt-oss-20b/summary_dpo-gpt-oss-20b-2026-07-28-12-18_best.json,300,,,0.1233,,,,,,,,,,,,,,
GPT-OSS-20B,ReSo,HarmBench,harmbench,Safety,1 - ASR,0.0133,98.67,harmbench/gpt-oss-20b/summary_gpt-oss-20b-reso-1-2026-07-28-16-07-lr-5e-6_best.json,300,,,0.0833,,,,,,,,,,,,,,
GPT-OSS-20B,ReSo-shuffle,HarmBench,harmbench,Safety,1 - ASR,0.02,98.0,harmbench/gpt-oss-20b/summary_gpt-oss-20b-reso-1-shuffle-1-2026-07-28-21-07_best.json,300,,,0.0833,,,,,,,,,,,,,,
GPT-OSS-20B,Base,DeceptionBench,deceptionbench,Safety,1 - ASR (mean TDR/RDR),0.1895,81.05,deceptionbench/gpt-oss-20b/deception_bench_gpt-oss-20b.json,,,,,,0.1911,0.1878,0.21,0.1767,,,,,,,,,
GPT-OSS-20B,DPO,DeceptionBench,deceptionbench,Safety,1 - ASR (mean TDR/RDR),0.2667,73.33,deceptionbench/gpt-oss-20b/deception_bench_dpo-gpt-oss-20b-2026-07-28-12-18_best.json,,,,,,0.2667,0.2667,0.25,0.275,,,,,,,,,
GPT-OSS-20B,ReSo,DeceptionBench,deceptionbench,Safety,1 - ASR (mean TDR/RDR),0.1624,83.76,deceptionbench/gpt-oss-20b/deception_bench_gpt-oss-20b-reso-1-2026-07-28-16-07-lr-5e-6_best.json,,,,,,0.1635,0.1613,0.1767,0.1536,,,,,,,,,
GPT-OSS-20B,ReSo-shuffle,DeceptionBench,deceptionbench,Safety,1 - ASR (mean TDR/RDR),0.13,87.0,deceptionbench/gpt-oss-20b/deception_bench_gpt-oss-20b-reso-1-shuffle-1-2026-07-28-21-07_best.json,,,,,,0.1311,0.1289,0.1533,0.1167,,,,,,,,,
GPT-OSS-20B,Base,OpenRT,openrt,Safety,1 - micro ASR (27 attacks),0.1808,81.92,openrt/gpt-oss-20b/gpt-oss-20b/summary.json,6100,,,,,,,,,,,1.0,0.941358024691358,0.19133333333333336,0.17021604938271606,0.22885802469135802,,
GPT-OSS-20B,DPO,OpenRT,openrt,Safety,1 - micro ASR (27 attacks),0.2419,75.81,openrt/gpt-oss-20b/gpt-oss-20b-dpo/summary.json,6114,,,,,,,,,,,1.0,0.9435185185185185,0.25304814814814813,0.22824074074074074,0.2847222222222222,,
